call_ns,return_ns,client_id,op,key,value,output
249067,261827,26,GET,k2,,cherry
249332,276335,38,PUT,k8,ham,
252067,292006,28,PUT,k9,nectar,
253077,286182,8,PUT,k10,tomato,
253317,293848,39,GET,k10,,quince
253601,302639,40,DELETE,k3,,
254962,293581,41,PUT,k1,straw,
256588,301323,9,PUT,k5,mango,
257329,299793,15,PUT,k9,ice,
257953,308075,18,GET,k7,,banana
258089,319248,19,DELETE,k10,,
259407,275339,24,PUT,k5,fig,
259785,314864,33,GET,k9,,nectar
260752,305686,23,PUT,k5,quince,
264442,324704,6,GET,k1,,ice
264846,277624,22,GET,k8,,raisin
265603,299058,20,GET,k9,,nectar
269609,321818,1,PUT,k7,olive,
269706,297520,3,DELETE,k4,,
270139,321677,5,PUT,k5,date,
270562,317761,17,PUT,k3,date,
270888,283556,26,PUT,k2,elder,
271616,305760,27,PUT,k10,grape,
271702,307309,29,PUT,k6,straw,
272766,303311,32,PUT,k6,ice,
273199,320687,37,DELETE,k3,,
273640,326456,42,GET,k8,,tomato
276850,303290,4,PUT,k2,olive,
278148,313147,7,GET,k8,,raisin
281500,329064,11,GET,k1,,raisin
281526,320337,14,GET,k3,,date
282487,326611,16,GET,k7,,banana
283633,315914,22,PUT,k3,jam,
284424,333173,24,PUT,k6,straw,
284783,335755,25,PUT,k9,fig,
285133,320696,10,GET,k10,,olive
287899,303784,2,PUT,k8,tomato,
289251,326656,8,PUT,k2,ice,
289852,345377,26,PUT,k1,kiwi,
290424,353111,34,GET,k3,,quince
292487,343908,28,PUT,k4,kiwi,
292788,307322,35,DELETE,k2,,
293829,326741,12,PUT,k10,olive,
294575,329723,13,GET,k2,,ice
294617,321403,36,PUT,k1,ice,
295481,329017,38,DELETE,k10,,
296387,357512,39,PUT,k8,jam,
298498,337376,3,PUT,k4,quince,
299920,343011,15,PUT,k9,ice,
301106,312569,20,GET,k7,,banana
302258,344836,9,DELETE,k5,,
304134,360906,2,DELETE,k6,,
307343,352748,4,GET,k7,,banana
310102,359934,0,PUT,k5,grape,
310751,370313,18,PUT,k10,jam,
311341,362069,21,PUT,k2,apple,
311468,363130,23,PUT,k2,kiwi,
312042,363717,27,DELETE,k4,,
312086,349672,29,GET,k5,,grape
312894,352257,20,DELETE,k8,,
314233,338631,7,PUT,k1,raisin,
316326,329587,22,PUT,k4,jam,
317554,363390,30,GET,k8,,NotFound
317835,385041,17,GET,k9,,cherry
320154,353431,19,GET,k6,,tomato
321715,348132,5,PUT,k3,quince,
323515,364888,1,GET,k5,,date
323861,374448,10,PUT,k7,ham,
323873,389853,14,GET,k1,,olive
325252,380464,6,PUT,k9,cherry,
325315,386435,31,DELETE,k1,,
326288,362902,32,GET,k3,,quince
328715,394079,8,GET,k8,,tomato
329876,346701,11,GET,k7,,banana
330160,373687,12,PUT,k4,quince,
330397,376323,13,DELETE,k6,,
330970,351129,16,PUT,k1,date,
331931,355287,22,GET,k5,,grape
333024,380259,33,GET,k7,,banana
333150,356788,35,GET,k10,,jam
333441,383446,24,GET,k3,,jam
334097,367039,36,PUT,k1,olive,
334385,382862,37,PUT,k8,tomato,
335241,403949,38,PUT,k6,tomato,
336051,359964,25,PUT,k8,peach,
336780,352306,40,PUT,k3,jam,
336968,395837,41,PUT,k6,fig,
337008,357012,42,PUT,k9,cherry,
337942,389946,3,DELETE,k5,,
338311,353601,43,GET,k6,,tomato
339060,387382,7,DELETE,k4,,
341359,355656,44,GET,k9,,cherry
341860,376940,45,GET,k7,,banana
342967,382744,46,PUT,k4,jam,
343804,374001,15,DELETE,k9,,
343865,383355,47,PUT,k10,kiwi,
344948,380391,9,GET,k2,,kiwi
349894,368639,5,PUT,k5,jam,
352076,392265,11,GET,k4,,jam
353081,394247,4,GET,k5,,jam
353581,384611,16,GET,k7,,banana
355901,404716,19,GET,k6,,fig
356050,379918,20,PUT,k10,date,
364056,397573,0,PUT,k7,olive,
366274,411130,1,GET,k8,,tomato
366818,390509,2,DELETE,k9,,
371182,408770,5,PUT,k10,nectar,
374787,425093,10,GET,k8,,tomato
374930,411527,12,GET,k4,,jam
379527,429077,13,GET,k8,,tomato
380022,425083,15,DELETE,k7,,
385758,405238,6,PUT,k10,jam,
391148,429741,2,PUT,k9,peach,
402063,433284,0,PUT,k10,olive,
403322,440921,3,PUT,k7,kiwi,
405763,451402,4,GET,k6,,tomato
430620,456188,1,GET,k9,,peach
435098,468688,0,GET,k10,,olive
441726,499387,2,GET,k7,,kiwi
